"featureId","module","feature","scopeClassification","implementationClassifications","intendedInternAccess","documentationClassification","platformClassifications","role","mode","route","criticality","applicable","evidence"
"crm.customer-search","CRM, contactos y oportunidades","Buscar, filtrar y exportar contactos","required_dependency_of_studio_workflow","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","native_mobile | mobile_web_fallback","Reception","read","/crm/contactos","medium","true","tdf-hq-ui/src/pages/PartiesPage.tsx | tdf-hq-ui/src/pages/LeadsPage.tsx | tdf-hq/src/TDF/API.hs | tdf-hq/assets/feature-registry.json"
"crm.customer-duplicates","CRM, contactos y oportunidades","Prevenir o identificar clientes duplicados","required_dependency_of_studio_workflow","partially_implemented","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","native_mobile | mobile_web_fallback","Reception","mutation","/crm/contactos","high","true","tdf-hq-ui/src/pages/PartiesPage.tsx | tdf-hq-ui/src/pages/LeadsPage.tsx | tdf-hq/src/TDF/API.hs | tdf-hq/assets/feature-registry.json"
"crm.companies","CRM, contactos y oportunidades","Empresas y personas de contacto","shared_with_another_tdf_business_area","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","native_mobile | mobile_web_fallback","Reception","mutation","/crm/empresas","medium","true","tdf-hq-ui/src/pages/PartiesPage.tsx | tdf-hq-ui/src/pages/LeadsPage.tsx | tdf-hq/src/TDF/API.hs | tdf-hq/assets/feature-registry.json"
"crm.leads","CRM, contactos y oportunidades","Crear y calificar leads para servicios de estudio","directly_within_studio_management_scope","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","web_only | not_available_on_mobile","StudioManager","mutation","/crm/leads","high","true","tdf-hq-ui/src/pages/PartiesPage.tsx | tdf-hq-ui/src/pages/LeadsPage.tsx | tdf-hq/src/TDF/API.hs | tdf-hq/assets/feature-registry.json"
"crm.opportunities","CRM, contactos y oportunidades","Oportunidades y siguiente acción comercial","directly_within_studio_management_scope","partially_implemented","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","web_only | not_available_on_mobile","StudioManager","workflow","/crm/leads","high","true","tdf-hq-ui/src/pages/PartiesPage.tsx | tdf-hq-ui/src/pages/LeadsPage.tsx | tdf-hq/src/TDF/API.hs | tdf-hq/assets/feature-registry.json"
"crm.pipeline","CRM, contactos y oportunidades","Mover oportunidades por el pipeline","directly_within_studio_management_scope","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","native_mobile | mobile_web_fallback","StudioManager","workflow","/estudio/pipelines","high","true","tdf-hq-ui/src/pages/PartiesPage.tsx | tdf-hq-ui/src/pages/LeadsPage.tsx | tdf-hq/src/TDF/API.hs | tdf-hq/assets/feature-registry.json"
"studio.calendar","Calendario, salas, recursos y reservas","Calendario del estudio","directly_within_studio_management_scope","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","native_mobile | mobile_web_fallback","Reception","read","/estudio/calendario","critical","true","tdf-hq-ui/src/pages/BookingsPage.tsx | tdf-hq-ui/src/pages/RoomsPage.tsx | tdf-hq/src/TDF/API/Rooms.hs | tdf-hq/src/TDF/Server.hs | tdf-hq/assets/feature-registry.json"
"studio.rooms","Calendario, salas, recursos y reservas","Crear y mantener salas","directly_within_studio_management_scope","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","native_mobile | mobile_web_fallback","StudioManager","mutation","/estudio/salas","critical","true","tdf-hq-ui/src/pages/BookingsPage.tsx | tdf-hq-ui/src/pages/RoomsPage.tsx | tdf-hq/src/TDF/API/Rooms.hs | tdf-hq/src/TDF/Server.hs | tdf-hq/assets/feature-registry.json"
"studio.resources","Calendario, salas, recursos y reservas","Recursos asociados a salas","directly_within_studio_management_scope","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","native_mobile | mobile_web_fallback","StudioManager","mutation","/estudio/salas","critical","true","tdf-hq-ui/src/pages/BookingsPage.tsx | tdf-hq-ui/src/pages/RoomsPage.tsx | tdf-hq/src/TDF/API/Rooms.hs | tdf-hq/src/TDF/Server.hs | tdf-hq/assets/feature-registry.json"
"studio.availability","Calendario, salas, recursos y reservas","Disponibilidad de salas y recursos","directly_within_studio_management_scope","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","native_mobile | mobile_web_fallback","Reception","workflow","/estudio/calendario","critical","true","tdf-hq-ui/src/pages/BookingsPage.tsx | tdf-hq-ui/src/pages/RoomsPage.tsx | tdf-hq/src/TDF/API/Rooms.hs | tdf-hq/src/TDF/Server.hs | tdf-hq/assets/feature-registry.json"
"studio.service-types","Calendario, salas, recursos y reservas","Tipos y definiciones de servicio","directly_within_studio_management_scope","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","web_only | not_available_on_mobile","StudioManager","mutation","/estudio/servicios","high","true","tdf-hq-ui/src/pages/BookingsPage.tsx | tdf-hq-ui/src/pages/RoomsPage.tsx | tdf-hq/src/TDF/API/Rooms.hs | tdf-hq/src/TDF/Server.hs | tdf-hq/assets/feature-registry.json"
"studio.internal-booking","Calendario, salas, recursos y reservas","Crear una reserva interna","directly_within_studio_management_scope","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","native_mobile | mobile_web_fallback","Reception","mutation","/estudio/calendario","critical","true","tdf-hq-ui/src/pages/BookingsPage.tsx | tdf-hq-ui/src/pages/RoomsPage.tsx | tdf-hq/src/TDF/API/Rooms.hs | tdf-hq/src/TDF/Server.hs | tdf-hq/assets/feature-registry.json"
"studio.booking-edit","Calendario, salas, recursos y reservas","Editar horario, sala, cliente y servicio","directly_within_studio_management_scope","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","native_mobile | mobile_web_fallback","Reception","mutation","/estudio/calendario","critical","true","tdf-hq-ui/src/pages/BookingsPage.tsx | tdf-hq-ui/src/pages/RoomsPage.tsx | tdf-hq/src/TDF/API/Rooms.hs | tdf-hq/src/TDF/Server.hs | tdf-hq/assets/feature-registry.json"
"studio.booking-cancel","Calendario, salas, recursos y reservas","Cancelar una reserva sin borrar el historial","directly_within_studio_management_scope","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","native_mobile | mobile_web_fallback","Reception","workflow","/estudio/calendario","critical","true","tdf-hq-ui/src/pages/BookingsPage.tsx | tdf-hq-ui/src/pages/RoomsPage.tsx | tdf-hq/src/TDF/API/Rooms.hs | tdf-hq/src/TDF/Server.hs | tdf-hq/assets/feature-registry.json"
"studio.booking-conflict-room","Calendario, salas, recursos y reservas","Conflicto simultáneo de sala","directly_within_studio_management_scope","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","native_mobile | mobile_web_fallback","Reception","conflict","/estudio/calendario","critical","true","tdf-hq-ui/src/pages/BookingsPage.tsx | tdf-hq-ui/src/pages/RoomsPage.tsx | tdf-hq/src/TDF/API/Rooms.hs | tdf-hq/src/TDF/Server.hs | tdf-hq/assets/feature-registry.json"
"studio.booking-conflict-resource","Calendario, salas, recursos y reservas","Conflicto simultáneo de recurso","directly_within_studio_management_scope","partially_implemented","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","native_mobile | mobile_web_fallback","Reception","conflict","/estudio/calendario","critical","true","tdf-hq-ui/src/pages/BookingsPage.tsx | tdf-hq-ui/src/pages/RoomsPage.tsx | tdf-hq/src/TDF/API/Rooms.hs | tdf-hq/src/TDF/Server.hs | tdf-hq/assets/feature-registry.json"
"studio.booking-concurrency","Calendario, salas, recursos y reservas","Dos usuarios reservando al mismo tiempo","directly_within_studio_management_scope","implemented_but_not_documented","requires_approved_temporary_permission_or_scoped_staging_persona","implemented_but_not_documented","native_mobile | mobile_web_fallback","Reception","conflict","/estudio/calendario","critical","true","tdf-hq-ui/src/pages/BookingsPage.tsx | tdf-hq-ui/src/pages/RoomsPage.tsx | tdf-hq/src/TDF/API/Rooms.hs | tdf-hq/src/TDF/Server.hs | tdf-hq/assets/feature-registry.json"
"studio.public-booking","Calendario, salas, recursos y reservas","Reserva pública de estudio","directly_within_studio_management_scope","implemented_and_accessible","available_with_intern_or_public_test_identity","implementation_and_route_evidence_documented","native_mobile | mobile_web_fallback","Visitante","public","/reservar","critical","true","tdf-hq-ui/src/pages/BookingsPage.tsx | tdf-hq-ui/src/pages/RoomsPage.tsx | tdf-hq/src/TDF/API/Rooms.hs | tdf-hq/src/TDF/Server.hs | tdf-hq/assets/feature-registry.json"
"studio.public-tracking","Calendario, salas, recursos y reservas","Seguimiento público seguro de la reserva","directly_within_studio_management_scope","implemented_and_accessible","available_with_intern_or_public_test_identity","implementation_and_route_evidence_documented","mobile_web_fallback","Visitante","public","/reservas/orden/:bookingId","high","true","tdf-hq-ui/src/pages/BookingsPage.tsx | tdf-hq-ui/src/pages/RoomsPage.tsx | tdf-hq/src/TDF/API/Rooms.hs | tdf-hq/src/TDF/Server.hs | tdf-hq/assets/feature-registry.json"
"studio.public-invalid-token","Calendario, salas, recursos y reservas","Token inválido o de otra reserva","directly_within_studio_management_scope","implemented_and_accessible","available_with_intern_or_public_test_identity","implementation_and_route_evidence_documented","mobile_web_fallback","Visitante","security","/reservas/orden/:bookingId","critical","true","tdf-hq-ui/src/pages/BookingsPage.tsx | tdf-hq-ui/src/pages/RoomsPage.tsx | tdf-hq/src/TDF/API/Rooms.hs | tdf-hq/src/TDF/Server.hs | tdf-hq/assets/feature-registry.json"
"studio.dj-booth","Calendario, salas, recursos y reservas","Reserva de DJ booth","directly_within_studio_management_scope","implemented_and_accessible","available_with_intern_or_public_test_identity","implementation_and_route_evidence_documented","native_mobile | mobile_web_fallback","Visitante","public","/dj-booth","medium","true","tdf-hq-ui/src/pages/BookingsPage.tsx | tdf-hq-ui/src/pages/RoomsPage.tsx | tdf-hq/src/TDF/API/Rooms.hs | tdf-hq/src/TDF/Server.hs | tdf-hq/assets/feature-registry.json"
"studio.orders","Órdenes y sesiones de grabación","Crear y editar orden de estudio","directly_within_studio_management_scope","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","web_only | not_available_on_mobile","Reception","mutation","/estudio/ordenes","critical","true","tdf-hq-ui/src/pages/OrdersPage.tsx | tdf-hq/src/TDF/API/Sessions.hs | tdf-hq/src/TDF/API.hs | tdf-hq/assets/feature-registry.json"
"studio.order-status","Órdenes y sesiones de grabación","Aprobar y cambiar estado de orden","directly_within_studio_management_scope","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","web_only | not_available_on_mobile","StudioManager","workflow","/estudio/ordenes","high","true","tdf-hq-ui/src/pages/OrdersPage.tsx | tdf-hq/src/TDF/API/Sessions.hs | tdf-hq/src/TDF/API.hs | tdf-hq/assets/feature-registry.json"
"studio.recording-session","Órdenes y sesiones de grabación","Crear sesión de grabación desde reserva u orden","directly_within_studio_management_scope","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","mobile_web_fallback","Engineer","workflow","/estudio/ordenes","critical","true","tdf-hq-ui/src/pages/OrdersPage.tsx | tdf-hq/src/TDF/API/Sessions.hs | tdf-hq/src/TDF/API.hs | tdf-hq/assets/feature-registry.json"
"studio.session-status","Órdenes y sesiones de grabación","Preparación, ejecución y cierre de sesión","directly_within_studio_management_scope","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","mobile_web_fallback","Engineer","workflow","/estudio/ordenes","critical","true","tdf-hq-ui/src/pages/OrdersPage.tsx | tdf-hq/src/TDF/API/Sessions.hs | tdf-hq/src/TDF/API.hs | tdf-hq/assets/feature-registry.json"
"studio.session-input-list","Órdenes y sesiones de grabación","Lista de entradas, canales y microfonía","directly_within_studio_management_scope","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","native_mobile | mobile_web_fallback","Engineer","mutation","/input-list/:id","high","true","tdf-hq-ui/src/pages/OrdersPage.tsx | tdf-hq/src/TDF/API/Sessions.hs | tdf-hq/src/TDF/API.hs | tdf-hq/assets/feature-registry.json"
"studio.session-artists","Órdenes y sesiones de grabación","Artistas asociados a la sesión","directly_within_studio_management_scope","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","mobile_web_fallback","Engineer","mutation","/estudio/ordenes","high","true","tdf-hq-ui/src/pages/OrdersPage.tsx | tdf-hq/src/TDF/API/Sessions.hs | tdf-hq/src/TDF/API.hs | tdf-hq/assets/feature-registry.json"
"studio.session-musicians","Órdenes y sesiones de grabación","Músicos, instrumentos y roles","directly_within_studio_management_scope","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","mobile_web_fallback","Engineer","mutation","/estudio/ordenes","high","true","tdf-hq-ui/src/pages/OrdersPage.tsx | tdf-hq/src/TDF/API/Sessions.hs | tdf-hq/src/TDF/API.hs | tdf-hq/assets/feature-registry.json"
"studio.session-engineers","Órdenes y sesiones de grabación","Ingeniero y asistente de sesión","directly_within_studio_management_scope","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","mobile_web_fallback","StudioManager","mutation","/estudio/ordenes","high","true","tdf-hq-ui/src/pages/OrdersPage.tsx | tdf-hq/src/TDF/API/Sessions.hs | tdf-hq/src/TDF/API.hs | tdf-hq/assets/feature-registry.json"
"studio.session-files","Órdenes y sesiones de grabación","Carpeta, grabaciones y entregables de sesión","directly_within_studio_management_scope","partially_implemented","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","mobile_web_fallback","Engineer","workflow","/estudio/ordenes","high","true","tdf-hq-ui/src/pages/OrdersPage.tsx | tdf-hq/src/TDF/API/Sessions.hs | tdf-hq/src/TDF/API.hs | tdf-hq/assets/feature-registry.json"
"studio.session-reopen","Órdenes y sesiones de grabación","Reabrir una sesión cerrada con autorización","directly_within_studio_management_scope","partially_implemented","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","web_only | not_available_on_mobile","StudioManager","security","/estudio/ordenes","high","true","tdf-hq-ui/src/pages/OrdersPage.tsx | tdf-hq/src/TDF/API/Sessions.hs | tdf-hq/src/TDF/API.hs | tdf-hq/assets/feature-registry.json"
"commerce.packages","Cotizaciones, facturación y pagos","Paquetes y horas prepagadas","directly_within_studio_management_scope","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","mobile_web_fallback","StudioManager","mutation","/estudio/servicios","high","true","tdf-hq-ui/src/pages/PaymentsPage.tsx | tdf-hq/src/TDF/API/Payments.hs | tdf-hq/src/TDF/Commerce/ServiceBookings.hs | tdf-hq/assets/feature-registry.json"
"commerce.package-balance","Cotizaciones, facturación y pagos","Consumo y saldo de horas","directly_within_studio_management_scope","partially_implemented","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","mobile_web_fallback","Reception","workflow","/estudio/ordenes","critical","true","tdf-hq-ui/src/pages/PaymentsPage.tsx | tdf-hq/src/TDF/API/Payments.hs | tdf-hq/src/TDF/Commerce/ServiceBookings.hs | tdf-hq/assets/feature-registry.json"
"commerce.quotations","Cotizaciones, facturación y pagos","Cotización de servicios de estudio","directly_within_studio_management_scope","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","web_only | not_available_on_mobile","StudioManager","workflow","/propuestas","high","true","tdf-hq-ui/src/pages/PaymentsPage.tsx | tdf-hq/src/TDF/API/Payments.hs | tdf-hq/src/TDF/Commerce/ServiceBookings.hs | tdf-hq/assets/feature-registry.json"
"commerce.quote-acceptance","Cotizaciones, facturación y pagos","Aceptación o rechazo de cotización","directly_within_studio_management_scope","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","mobile_web_fallback","Customer de pruebas","workflow","/propuestas","high","true","tdf-hq-ui/src/pages/PaymentsPage.tsx | tdf-hq/src/TDF/API/Payments.hs | tdf-hq/src/TDF/Commerce/ServiceBookings.hs | tdf-hq/assets/feature-registry.json"
"commerce.invoices","Cotizaciones, facturación y pagos","Generar y consultar factura","required_dependency_of_studio_workflow","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","web_only | not_available_on_mobile","Finance","workflow","/finanzas/pagos","critical","true","tdf-hq-ui/src/pages/PaymentsPage.tsx | tdf-hq/src/TDF/API/Payments.hs | tdf-hq/src/TDF/Commerce/ServiceBookings.hs | tdf-hq/assets/feature-registry.json"
"commerce.manual-payment","Cotizaciones, facturación y pagos","Registrar pago manual","directly_within_studio_management_scope","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","web_only | not_available_on_mobile","Finance","mutation","/finanzas/pagos","critical","true","tdf-hq-ui/src/pages/PaymentsPage.tsx | tdf-hq/src/TDF/API/Payments.hs | tdf-hq/src/TDF/Commerce/ServiceBookings.hs | tdf-hq/assets/feature-registry.json"
"commerce.datafast","Cotizaciones, facturación y pagos","Checkout Datafast sandbox","directly_within_studio_management_scope","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","mobile_web_fallback","Customer de pruebas","integration","/reservar","critical","true","tdf-hq-ui/src/pages/PaymentsPage.tsx | tdf-hq/src/TDF/API/Payments.hs | tdf-hq/src/TDF/Commerce/ServiceBookings.hs | tdf-hq/assets/feature-registry.json"
"commerce.paypal","Cotizaciones, facturación y pagos","Checkout PayPal sandbox","directly_within_studio_management_scope","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","mobile_web_fallback","Customer de pruebas","integration","/reservar","critical","true","tdf-hq-ui/src/pages/PaymentsPage.tsx | tdf-hq/src/TDF/API/Payments.hs | tdf-hq/src/TDF/Commerce/ServiceBookings.hs | tdf-hq/assets/feature-registry.json"
"commerce.payment-confirmation","Cotizaciones, facturación y pagos","Confirmación verificable del pago","directly_within_studio_management_scope","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","mobile_web_fallback","Finance","integration","/finanzas/pagos","critical","true","tdf-hq-ui/src/pages/PaymentsPage.tsx | tdf-hq/src/TDF/API/Payments.hs | tdf-hq/src/TDF/Commerce/ServiceBookings.hs | tdf-hq/assets/feature-registry.json"
"commerce.payment-failure","Cotizaciones, facturación y pagos","Pago rechazado o proveedor no disponible","directly_within_studio_management_scope","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","mobile_web_fallback","Customer de pruebas","integration","/reservar","critical","true","tdf-hq-ui/src/pages/PaymentsPage.tsx | tdf-hq/src/TDF/API/Payments.hs | tdf-hq/src/TDF/Commerce/ServiceBookings.hs | tdf-hq/assets/feature-registry.json"
"commerce.abandoned-checkout","Cotizaciones, facturación y pagos","Checkout abandonado sin cobro ni reserva falsa","directly_within_studio_management_scope","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","mobile_web_fallback","Customer de pruebas","integration","/reservar","critical","true","tdf-hq-ui/src/pages/PaymentsPage.tsx | tdf-hq/src/TDF/API/Payments.hs | tdf-hq/src/TDF/Commerce/ServiceBookings.hs | tdf-hq/assets/feature-registry.json"
"commerce.payment-idempotency","Cotizaciones, facturación y pagos","Doble clic, reintento e idempotencia","required_dependency_of_studio_workflow","implemented_but_not_documented","requires_approved_temporary_permission_or_scoped_staging_persona","implemented_but_not_documented","mobile_web_fallback","Customer de pruebas","integration","/reservar","critical","true","tdf-hq-ui/src/pages/PaymentsPage.tsx | tdf-hq/src/TDF/API/Payments.hs | tdf-hq/src/TDF/Commerce/ServiceBookings.hs | tdf-hq/assets/feature-registry.json"
"commerce.refunds","Cotizaciones, facturación y pagos","Reembolso total o parcial en sandbox","directly_within_studio_management_scope","partially_implemented","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","web_only | not_available_on_mobile","Finance","integration","/finanzas/pagos","critical","true","tdf-hq-ui/src/pages/PaymentsPage.tsx | tdf-hq/src/TDF/API/Payments.hs | tdf-hq/src/TDF/Commerce/ServiceBookings.hs | tdf-hq/assets/feature-registry.json"
"commerce.reconciliation","Cotizaciones, facturación y pagos","Conciliación con eventos del proveedor","required_dependency_of_studio_workflow","implemented_but_not_documented","requires_approved_temporary_permission_or_scoped_staging_persona","implemented_but_not_documented","web_only | not_available_on_mobile","Admin de pruebas","integration","/admin/commerce/provider-events","critical","true","tdf-hq-ui/src/pages/PaymentsPage.tsx | tdf-hq/src/TDF/API/Payments.hs | tdf-hq/src/TDF/Commerce/ServiceBookings.hs | tdf-hq/assets/feature-registry.json"
"commerce.failed-events","Cotizaciones, facturación y pagos","Eventos fallidos, reintento y dead letters","required_dependency_of_studio_workflow","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","web_only | not_available_on_mobile","Admin de pruebas","integration","/admin/commerce/provider-events","critical","true","tdf-hq-ui/src/pages/PaymentsPage.tsx | tdf-hq/src/TDF/API/Payments.hs | tdf-hq/src/TDF/Commerce/ServiceBookings.hs | tdf-hq/assets/feature-registry.json"
"inventory.assets","Inventario, equipos y mantenimiento","Crear, editar y consultar equipos","directly_within_studio_management_scope","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","native_mobile | mobile_web_fallback","StudioManager","mutation","/operacion/inventario","high","true","tdf-hq-ui/src/pages/InventoryPage.tsx | tdf-hq-ui/src/pages/ReservasEquipoPage.tsx | tdf-hq/src/TDF/API/Inventory.hs | tdf-hq/assets/feature-registry.json"
"inventory.availability","Inventario, equipos y mantenimiento","Disponibilidad de equipo para una reserva","directly_within_studio_management_scope","implemented_but_inaccessible_to_intended_role","requires_approved_temporary_permission_or_scoped_staging_persona","implementation_and_route_evidence_documented","native_mobile | mobile_web_fallback","Reception","workflow","/operacion/inventario","critical","true","tdf-hq-ui/src/pages/InventoryPage.tsx | tdf-hq-ui/src/pages/ReservasEquipoPage.tsx | tdf-hq/src/TDF/API/Inventory.hs | tdf-hq/assets/feature-registry.json"
